세종특별자치시,장군면 봉안리,23.1,33,200,2014
세종특별자치시,장군면 봉안리,23.1,30,200,2014
세종특별자치시,장군면 봉안리,25,40,200,2014
세종특별자치시,장군면 봉안리,25.94,32,100,2014
세종특별자치시,장군면 봉안리,20,42,200,2014
세종특별자치시,장군면 봉안리,21.98,0,5000,2015
세종특별자치시,장군면 봉안리,28,37,200,2016
세종특별자치시,장군면 봉안리,22,15,1500,2014
세종특별자치시,장군면 봉안리,20,32,200,2014
세종특별자치시,장군면 봉안리,20,31,100,0000
세종특별자치시,장군면 봉안리,20,30,200,2014
세종특별자치시,장군면 봉안리,22,37,200,2017
세종특별자치시,장군면 봉안리,22,37,200,2017
세종특별자치시,장군면 하봉리,40,0,5500,2014
세종특별자치시,장군면 은용리,20,55,200,2013
세종특별자치시,장군면 은용리,22,0,4500,2013
세종특별자치시,장군면 은용리,22,0,4000,2013
세종특별자치시,연서면 봉암리,25,33,200,2014
세종특별자치시,연서면 봉암리,24,30,200,0000
세종특별자치시,연서면 봉암리,22,32,200,2014
세종특별자치시,연서면 봉암리,25,33,200,2013
세종특별자치시,연서면 봉암리,24,0,2800,2013
세종특별자치시,연서면 봉암리,26,30,200,2014
세종특별자치시,연서면 봉암리,30,0,5000,2013
세종특별자치시,연서면 봉암리,29.57,57,500,2012
